Score report for run H

W    1 Answer key says      YES; system says  UNKNOWN
W   74 Answer key says      YES; system says  UNKNOWN
R   75 Answer key says      YES; system says      YES
W   76 Answer key says      YES; system says  UNKNOWN
W   77 Answer key says       NO; system says  UNKNOWN
W   78 Answer key says      YES; system says  UNKNOWN
R   79 Answer key says  UNKNOWN; system says  UNKNOWN
W   80 Answer key says      YES; system says  UNKNOWN
W   81 Answer key says       NO; system says      YES
W   82 Answer key says      YES; system says  UNKNOWN
W   83 Answer key says      YES; system says  UNKNOWN
W   84 Answer key says       NO; system says  UNKNOWN
W   85 Answer key says       NO; system says  UNKNOWN
W   86 Answer key says      YES; system says  UNKNOWN
W   87 Answer key says      YES; system says  UNKNOWN
W   88 Answer key says      YES; system says  UNKNOWN
W   89 Answer key says       NO; system says  UNKNOWN
W   90 Answer key says       NO; system says      YES
W   91 Answer key says      YES; system says  UNKNOWN
R   92 Answer key says  UNKNOWN; system says  UNKNOWN
W   93 Answer key says      YES; system says  UNKNOWN
W   94 Answer key says      YES; system says  UNKNOWN
W   95 Answer key says      YES; system says  UNKNOWN
W   96 Answer key says      YES; system says  UNKNOWN
W   97 Answer key says      YES; system says  UNKNOWN
W   98 Answer key says       NO; system says  UNKNOWN
W   99 Answer key says       NO; system says      YES
R  100 Answer key says  UNKNOWN; system says  UNKNOWN
R  101 Answer key says  UNKNOWN; system says  UNKNOWN
R  102 Answer key says  UNKNOWN; system says  UNKNOWN
R  103 Answer key says  UNKNOWN; system says  UNKNOWN
R  104 Answer key says  UNKNOWN; system says  UNKNOWN
W  105 Answer key says      YES; system says  UNKNOWN
R  106 Answer key says      YES; system says      YES
W  107 Answer key says      YES; system says  UNKNOWN
R  108 Answer key says  UNKNOWN; system says  UNKNOWN
R  109 Answer key says  UNKNOWN; system says  UNKNOWN
R  110 Answer key says      YES; system says      YES
W  111 Answer key says       NO; system says      YES
W  112 Answer key says      YES; system says  UNKNOWN
R  113 Answer key says      YES; system says      YES
R  114 Answer key says      YES; system says      YES
W  115 Answer key says  UNKNOWN; system says      YES
W  116 Answer key says      YES; system says  UNKNOWN
W  117 Answer key says      YES; system says  UNKNOWN
W  118 Answer key says      YES; system says  UNKNOWN
W  119 Answer key says  UNKNOWN; system says      YES
W  120 Answer key says       NO; system says      YES
W  121 Answer key says      YES; system says  UNKNOWN
R  122 Answer key says      YES; system says      YES
W  123 Answer key says      YES; system says  UNKNOWN
W  124 Answer key says       NO; system says  UNKNOWN
W  125 Answer key says       NO; system says  UNKNOWN
R  126 Answer key says      YES; system says      YES
W  127 Answer key says       NO; system says  UNKNOWN
W  128 Answer key says      YES; system says  UNKNOWN
W  129 Answer key says      YES; system says  UNKNOWN
R  130 Answer key says  UNKNOWN; system says  UNKNOWN
W  131 Answer key says       NO; system says  UNKNOWN
W  132 Answer key says      YES; system says  UNKNOWN
W  133 Answer key says       NO; system says  UNKNOWN
W  134 Answer key says       NO; system says  UNKNOWN
R  135 Answer key says  UNKNOWN; system says  UNKNOWN
R  136 Answer key says  UNKNOWN; system says  UNKNOWN
W  137 Answer key says      YES; system says  UNKNOWN
R  138 Answer key says      YES; system says      YES
W  139 Answer key says       NO; system says  UNKNOWN
R  140 Answer key says  UNKNOWN; system says  UNKNOWN
W  141 Answer key says       NO; system says  UNKNOWN
R  142 Answer key says  UNKNOWN; system says  UNKNOWN
W  143 Answer key says  UNKNOWN; system says      YES
W  144 Answer key says      YES; system says  UNKNOWN
R  145 Answer key says  UNKNOWN; system says  UNKNOWN
R  146 Answer key says  UNKNOWN; system says  UNKNOWN
R  147 Answer key says  UNKNOWN; system says  UNKNOWN
W  148 Answer key says      YES; system says  UNKNOWN
W  149 Answer key says      YES; system says  UNKNOWN
W  150 Answer key says  UNKNOWN; system says      YES
R  151 Answer key says      YES; system says      YES
W  152 Answer key says      YES; system says  UNKNOWN
R  153 Answer key says  UNKNOWN; system says  UNKNOWN
W  154 Answer key says       NO; system says  UNKNOWN
W  155 Answer key says      YES; system says  UNKNOWN
R  156 Answer key says  UNKNOWN; system says  UNKNOWN
W  157 Answer key says      YES; system says  UNKNOWN
W  158 Answer key says      YES; system says  UNKNOWN
W  159 Answer key says       NO; system says  UNKNOWN
W  160 Answer key says      YES; system says  UNKNOWN
W  161 Answer key says  UNKNOWN; system says      YES
W  162 Answer key says      YES; system says  UNKNOWN
R  163 Answer key says  UNKNOWN; system says  UNKNOWN
W  164 Answer key says       NO; system says      YES
W  165 Answer key says      YES; system says  UNKNOWN
W  166 Answer key says      YES; system says  UNKNOWN
W  167 Answer key says      YES; system says  UNKNOWN
R  168 Answer key says      YES; system says      YES
W  169 Answer key says      YES; system says  UNKNOWN
R  170 Answer key says  UNKNOWN; system says  UNKNOWN
W  171 Answer key says      YES; system says  UNKNOWN
R  172 Answer key says  UNKNOWN; system says  UNKNOWN
W  173 Answer key says      YES; system says  UNKNOWN
R  174 Answer key says  UNKNOWN; system says  UNKNOWN
W  175 Answer key says      YES; system says  UNKNOWN
R  176 Answer key says      YES; system says      YES
R  177 Answer key says      YES; system says      YES
W  178 Answer key says      YES; system says  UNKNOWN
R  179 Answer key says  UNKNOWN; system says  UNKNOWN
W  180 Answer key says       NO; system says      YES
R  181 Answer key says  UNKNOWN; system says  UNKNOWN
R  182 Answer key says  UNKNOWN; system says  UNKNOWN
R  183 Answer key says  UNKNOWN; system says  UNKNOWN
W  184 Answer key says      YES; system says  UNKNOWN
W  185 Answer key says       NO; system says  UNKNOWN
W  186 Answer key says      YES; system says  UNKNOWN
W  187 Answer key says      YES; system says  UNKNOWN
W  188 Answer key says      YES; system says  UNKNOWN
R  189 Answer key says  UNKNOWN; system says  UNKNOWN
W  190 Answer key says      YES; system says  UNKNOWN
W  191 Answer key says      YES; system says  UNKNOWN
R  192 Answer key says  UNKNOWN; system says  UNKNOWN
R  193 Answer key says  UNKNOWN; system says  UNKNOWN
W  194 Answer key says  UNKNOWN; system says      YES
W  195 Answer key says      YES; system says  UNKNOWN
W  196 Answer key says      YES; system says  UNKNOWN
W  197 Answer key says      YES; system says  UNKNOWN
W  198 Answer key says       NO; system says  UNKNOWN
W  199 Answer key says      YES; system says  UNKNOWN
R  200 Answer key says  UNKNOWN; system says  UNKNOWN
W  201 Answer key says      YES; system says  UNKNOWN
R  202 Answer key says  UNKNOWN; system says  UNKNOWN
W  203 Answer key says      YES; system says  UNKNOWN
R  204 Answer key says  UNKNOWN; system says  UNKNOWN
R  205 Answer key says  UNKNOWN; system says  UNKNOWN
W  206 Answer key says      YES; system says  UNKNOWN
W  207 Answer key says      YES; system says  UNKNOWN
R  208 Answer key says      YES; system says      YES
W  209 Answer key says      YES; system says  UNKNOWN
R  210 Answer key says      YES; system says      YES
R  211 Answer key says      YES; system says      YES
R  212 Answer key says  UNKNOWN; system says  UNKNOWN
R  213 Answer key says  UNKNOWN; system says  UNKNOWN
R  214 Answer key says  UNKNOWN; system says  UNKNOWN
R  215 Answer key says  UNKNOWN; system says  UNKNOWN
R  216 Answer key says      YES; system says      YES
W  217 Answer key says      YES; system says  UNKNOWN
R  218 Answer key says  UNKNOWN; system says  UNKNOWN
R  219 Answer key says  UNKNOWN; system says  UNKNOWN
R  220 Answer key says  UNKNOWN; system says  UNKNOWN
W  221 Answer key says      YES; system says  UNKNOWN
R  222 Answer key says  UNKNOWN; system says  UNKNOWN
R  223 Answer key says  UNKNOWN; system says  UNKNOWN
W  224 Answer key says      YES; system says  UNKNOWN
W  225 Answer key says      YES; system says  UNKNOWN
R  226 Answer key says  UNKNOWN; system says  UNKNOWN
R  227 Answer key says  UNKNOWN; system says  UNKNOWN
W  228 Answer key says      YES; system says  UNKNOWN
W  229 Answer key says      YES; system says  UNKNOWN
R  230 Answer key says  UNKNOWN; system says  UNKNOWN
W  231 Answer key says      YES; system says  UNKNOWN
R  232 Answer key says  UNKNOWN; system says  UNKNOWN
W  233 Answer key says      YES; system says  UNKNOWN
W  234 Answer key says      YES; system says  UNKNOWN
W  235 Answer key says      YES; system says  UNKNOWN
W  236 Answer key says      YES; system says  UNKNOWN
R  237 Answer key says  UNKNOWN; system says  UNKNOWN
R  238 Answer key says  UNKNOWN; system says  UNKNOWN
W  239 Answer key says      YES; system says  UNKNOWN
W  240 Answer key says      YES; system says  UNKNOWN
R  241 Answer key says  UNKNOWN; system says  UNKNOWN
R  242 Answer key says  UNKNOWN; system says  UNKNOWN
R  243 Answer key says  UNKNOWN; system says  UNKNOWN
R  244 Answer key says  UNKNOWN; system says  UNKNOWN
R  245 Answer key says  UNKNOWN; system says  UNKNOWN
W  246 Answer key says      YES; system says  UNKNOWN
R  247 Answer key says  UNKNOWN; system says  UNKNOWN
W  248 Answer key says      YES; system says  UNKNOWN
W  249 Answer key says      YES; system says  UNKNOWN
W  250 Answer key says      YES; system says  UNKNOWN
R  251 Answer key says  UNKNOWN; system says  UNKNOWN
W  252 Answer key says      YES; system says  UNKNOWN
R  253 Answer key says  UNKNOWN; system says  UNKNOWN
R  254 Answer key says  UNKNOWN; system says  UNKNOWN
W  255 Answer key says      YES; system says  UNKNOWN
R  256 Answer key says      YES; system says      YES
R  257 Answer key says  UNKNOWN; system says  UNKNOWN
W  258 Answer key says      YES; system says  UNKNOWN
W  259 Answer key says      YES; system says  UNKNOWN
R  260 Answer key says  UNKNOWN; system says  UNKNOWN
W  261 Answer key says      YES; system says  UNKNOWN
R  262 Answer key says  UNKNOWN; system says  UNKNOWN
R  263 Answer key says  UNKNOWN; system says  UNKNOWN
W  264 Answer key says      YES; system says  UNKNOWN
R  265 Answer key says  UNKNOWN; system says  UNKNOWN
W  266 Answer key says      YES; system says  UNKNOWN
W  267 Answer key says      YES; system says  UNKNOWN
R  268 Answer key says  UNKNOWN; system says  UNKNOWN
W  269 Answer key says      YES; system says  UNKNOWN
R  270 Answer key says  UNKNOWN; system says  UNKNOWN
R  271 Answer key says  UNKNOWN; system says  UNKNOWN
W  272 Answer key says      YES; system says  UNKNOWN
R  273 Answer key says      YES; system says      YES
R  274 Answer key says      YES; system says      YES
R  275 Answer key says  UNKNOWN; system says  UNKNOWN
R  276 Answer key says  UNKNOWN; system says  UNKNOWN
R  277 Answer key says  UNKNOWN; system says  UNKNOWN
W  278 Answer key says      YES; system says  UNKNOWN
R  279 Answer key says  UNKNOWN; system says  UNKNOWN
W  280 Answer key says      YES; system says  UNKNOWN
W  281 Answer key says      YES; system says  UNKNOWN
R  282 Answer key says  UNKNOWN; system says  UNKNOWN
W  283 Answer key says      YES; system says  UNKNOWN
W  284 Answer key says      YES; system says  UNKNOWN
R  285 Answer key says  UNKNOWN; system says  UNKNOWN
W  286 Answer key says      YES; system says  UNKNOWN
W  287 Answer key says      YES; system says  UNKNOWN
R  288 Answer key says      YES; system says      YES
W  289 Answer key says      YES; system says  UNKNOWN
R  290 Answer key says  UNKNOWN; system says  UNKNOWN
R  291 Answer key says  UNKNOWN; system says  UNKNOWN
W  292 Answer key says      YES; system says  UNKNOWN
R  293 Answer key says  UNKNOWN; system says  UNKNOWN
R  294 Answer key says  UNKNOWN; system says  UNKNOWN
R  295 Answer key says  UNKNOWN; system says  UNKNOWN
W  296 Answer key says       NO; system says  UNKNOWN
W  297 Answer key says      YES; system says  UNKNOWN
W  298 Answer key says      YES; system says  UNKNOWN
R  299 Answer key says      YES; system says      YES
R  300 Answer key says  UNKNOWN; system says  UNKNOWN
R  301 Answer key says  UNKNOWN; system says  UNKNOWN
R  302 Answer key says  UNKNOWN; system says  UNKNOWN
W  303 Answer key says      YES; system says  UNKNOWN
R  304 Answer key says  UNKNOWN; system says  UNKNOWN
R  305 Answer key says  UNKNOWN; system says  UNKNOWN
R  306 Answer key says  UNKNOWN; system says  UNKNOWN
R  307 Answer key says  UNKNOWN; system says  UNKNOWN
R  308 Answer key says  UNKNOWN; system says  UNKNOWN
W  309 Answer key says      YES; system says  UNKNOWN
R  310 Answer key says  UNKNOWN; system says  UNKNOWN
R  311 Answer key says  UNKNOWN; system says  UNKNOWN
R  312 Answer key says  UNKNOWN; system says  UNKNOWN
R  313 Answer key says  UNKNOWN; system says  UNKNOWN
W  314 Answer key says      YES; system says  UNKNOWN
W  315 Answer key says      YES; system says  UNKNOWN
R  316 Answer key says  UNKNOWN; system says  UNKNOWN
R  317 Answer key says  UNKNOWN; system says  UNKNOWN
R  318 Answer key says  UNKNOWN; system says  UNKNOWN
R  319 Answer key says  UNKNOWN; system says  UNKNOWN
W  320 Answer key says      YES; system says  UNKNOWN
R  321 Answer key says  UNKNOWN; system says  UNKNOWN
R  322 Answer key says  UNKNOWN; system says  UNKNOWN
R  323 Answer key says  UNKNOWN; system says  UNKNOWN
W  324 Answer key says      YES; system says  UNKNOWN
W  325 Answer key says      YES; system says  UNKNOWN
W  326 Answer key says      YES; system says  UNKNOWN
W  327 Answer key says      YES; system says  UNKNOWN
W  328 Answer key says      YES; system says  UNKNOWN
R  329 Answer key says  UNKNOWN; system says  UNKNOWN
R  330 Answer key says  UNKNOWN; system says  UNKNOWN
R  331 Answer key says  UNKNOWN; system says  UNKNOWN
R  332 Answer key says  UNKNOWN; system says  UNKNOWN
R  333 Answer key says  UNKNOWN; system says  UNKNOWN
R  334 Answer key says  UNKNOWN; system says  UNKNOWN
R  335 Answer key says  UNKNOWN; system says  UNKNOWN
W  336 Answer key says       NO; system says  UNKNOWN
R  337 Answer key says  UNKNOWN; system says  UNKNOWN
R  338 Answer key says  UNKNOWN; system says  UNKNOWN
W  339 Answer key says      YES; system says  UNKNOWN
W  340 Answer key says      YES; system says  UNKNOWN
R  341 Answer key says  UNKNOWN; system says  UNKNOWN
W  342 Answer key says      YES; system says  UNKNOWN
W  343 Answer key says      YES; system says  UNKNOWN
R  344 Answer key says  UNKNOWN; system says  UNKNOWN
W  345 Answer key says       NO; system says  UNKNOWN
W  346 Answer key says      YES; system says  UNKNOWN
R  347 Answer key says  UNKNOWN; system says  UNKNOWN
W  348 Answer key says      YES; system says  UNKNOWN
R  349 Answer key says  UNKNOWN; system says  UNKNOWN
R  350 Answer key says  UNKNOWN; system says  UNKNOWN
R  351 Answer key says  UNKNOWN; system says  UNKNOWN
R  352 Answer key says  UNKNOWN; system says  UNKNOWN
R  353 Answer key says  UNKNOWN; system says  UNKNOWN
W  354 Answer key says      YES; system says  UNKNOWN
W  355 Answer key says      YES; system says  UNKNOWN
W  356 Answer key says      YES; system says  UNKNOWN
W  357 Answer key says      YES; system says  UNKNOWN
W  358 Answer key says      YES; system says  UNKNOWN
R  359 Answer key says  UNKNOWN; system says  UNKNOWN
R  360 Answer key says  UNKNOWN; system says  UNKNOWN
W  361 Answer key says      YES; system says  UNKNOWN
W  362 Answer key says      YES; system says  UNKNOWN
R  363 Answer key says  UNKNOWN; system says  UNKNOWN
R  364 Answer key says  UNKNOWN; system says  UNKNOWN
R  365 Answer key says  UNKNOWN; system says  UNKNOWN
W  366 Answer key says      YES; system says  UNKNOWN
W  367 Answer key says      YES; system says  UNKNOWN
W  368 Answer key says      YES; system says  UNKNOWN
W  369 Answer key says      YES; system says  UNKNOWN
R  370 Answer key says  UNKNOWN; system says  UNKNOWN
R  371 Answer key says      YES; system says      YES
R  372 Answer key says      YES; system says      YES
W  373 Answer key says      YES; system says  UNKNOWN
R  374 Answer key says      YES; system says      YES
R  375 Answer key says  UNKNOWN; system says  UNKNOWN
W  376 Answer key says      YES; system says  UNKNOWN
W  377 Answer key says      YES; system says  UNKNOWN
W  378 Answer key says      YES; system says  UNKNOWN
R  379 Answer key says  UNKNOWN; system says  UNKNOWN
R  380 Answer key says  UNKNOWN; system says  UNKNOWN
R  381 Answer key says  UNKNOWN; system says  UNKNOWN
W  382 Answer key says      YES; system says  UNKNOWN
R  383 Answer key says  UNKNOWN; system says  UNKNOWN
R  384 Answer key says  UNKNOWN; system says  UNKNOWN
R  385 Answer key says  UNKNOWN; system says  UNKNOWN
R  386 Answer key says  UNKNOWN; system says  UNKNOWN
R  387 Answer key says  UNKNOWN; system says  UNKNOWN
R  388 Answer key says  UNKNOWN; system says  UNKNOWN
R  389 Answer key says  UNKNOWN; system says  UNKNOWN
W  390 Answer key says       NO; system says  UNKNOWN
R  391 Answer key says  UNKNOWN; system says  UNKNOWN
R  392 Answer key says  UNKNOWN; system says  UNKNOWN
R  393 Answer key says  UNKNOWN; system says  UNKNOWN
R  394 Answer key says  UNKNOWN; system says  UNKNOWN
R  395 Answer key says  UNKNOWN; system says  UNKNOWN
R  396 Answer key says  UNKNOWN; system says  UNKNOWN
R  397 Answer key says  UNKNOWN; system says  UNKNOWN
R  398 Answer key says  UNKNOWN; system says  UNKNOWN
R  399 Answer key says  UNKNOWN; system says  UNKNOWN
R  400 Answer key says  UNKNOWN; system says  UNKNOWN
R  401 Answer key says      YES; system says      YES
R  402 Answer key says      YES; system says      YES
R  403 Answer key says  UNKNOWN; system says  UNKNOWN
R  404 Answer key says  UNKNOWN; system says  UNKNOWN
R  405 Answer key says  UNKNOWN; system says  UNKNOWN
W  406 Answer key says      YES; system says  UNKNOWN
W  407 Answer key says      YES; system says  UNKNOWN
W  408 Answer key says      YES; system says  UNKNOWN
W  409 Answer key says       NO; system says  UNKNOWN
R  410 Answer key says  UNKNOWN; system says  UNKNOWN
W  411 Answer key says      YES; system says  UNKNOWN
R  412 Answer key says      YES; system says      YES
R  413 Answer key says  UNKNOWN; system says  UNKNOWN
W  414 Answer key says      YES; system says  UNKNOWN
W  415 Answer key says      YES; system says  UNKNOWN
R  416 Answer key says  UNKNOWN; system says  UNKNOWN
W  417 Answer key says      YES; system says  UNKNOWN
R  418 Answer key says  UNKNOWN; system says  UNKNOWN
W  419 Answer key says      YES; system says  UNKNOWN
R  420 Answer key says  UNKNOWN; system says  UNKNOWN
W  421 Answer key says      YES; system says  UNKNOWN
R  422 Answer key says  UNKNOWN; system says  UNKNOWN
W  423 Answer key says      YES; system says  UNKNOWN
W  424 Answer key says      YES; system says  UNKNOWN
W  425 Answer key says       NO; system says  UNKNOWN
W  426 Answer key says      YES; system says  UNKNOWN
W  427 Answer key says      YES; system says  UNKNOWN
R  428 Answer key says  UNKNOWN; system says  UNKNOWN
W  429 Answer key says      YES; system says  UNKNOWN
W  430 Answer key says      YES; system says  UNKNOWN
R  431 Answer key says  UNKNOWN; system says  UNKNOWN
W  432 Answer key says      YES; system says  UNKNOWN
W  433 Answer key says      YES; system says  UNKNOWN
R  434 Answer key says  UNKNOWN; system says  UNKNOWN
R  435 Answer key says  UNKNOWN; system says  UNKNOWN
R  436 Answer key says      YES; system says      YES
W  437 Answer key says      YES; system says  UNKNOWN
W  438 Answer key says      YES; system says  UNKNOWN
W  439 Answer key says      YES; system says  UNKNOWN
R  440 Answer key says  UNKNOWN; system says  UNKNOWN
R  441 Answer key says  UNKNOWN; system says  UNKNOWN
W  442 Answer key says      YES; system says  UNKNOWN
R  443 Answer key says  UNKNOWN; system says  UNKNOWN
W  444 Answer key says      YES; system says  UNKNOWN
W  445 Answer key says      YES; system says  UNKNOWN
W  446 Answer key says      YES; system says  UNKNOWN
W  447 Answer key says      YES; system says  UNKNOWN
R  448 Answer key says  UNKNOWN; system says  UNKNOWN
W  449 Answer key says      YES; system says  UNKNOWN
R  450 Answer key says  UNKNOWN; system says  UNKNOWN
R  451 Answer key says  UNKNOWN; system says  UNKNOWN
W  452 Answer key says      YES; system says  UNKNOWN
W  453 Answer key says      YES; system says  UNKNOWN
W  454 Answer key says      YES; system says  UNKNOWN
R  455 Answer key says  UNKNOWN; system says  UNKNOWN
R  456 Answer key says      YES; system says      YES
R  457 Answer key says  UNKNOWN; system says  UNKNOWN
R  458 Answer key says  UNKNOWN; system says  UNKNOWN
W  459 Answer key says      YES; system says  UNKNOWN
W  460 Answer key says      YES; system says  UNKNOWN
R  461 Answer key says  UNKNOWN; system says  UNKNOWN
W  462 Answer key says      YES; system says  UNKNOWN
W  463 Answer key says       NO; system says  UNKNOWN
W  464 Answer key says       NO; system says  UNKNOWN
R  465 Answer key says  UNKNOWN; system says  UNKNOWN
W  466 Answer key says      YES; system says  UNKNOWN
R  467 Answer key says  UNKNOWN; system says  UNKNOWN
W  468 Answer key says      YES; system says  UNKNOWN
R  469 Answer key says  UNKNOWN; system says  UNKNOWN
R  470 Answer key says  UNKNOWN; system says  UNKNOWN
W  471 Answer key says      YES; system says  UNKNOWN
W  472 Answer key says      YES; system says  UNKNOWN
W  473 Answer key says      YES; system says  UNKNOWN
W  474 Answer key says      YES; system says  UNKNOWN
W  475 Answer key says      YES; system says  UNKNOWN
W  476 Answer key says      YES; system says  UNKNOWN
R  477 Answer key says  UNKNOWN; system says  UNKNOWN
W  478 Answer key says      YES; system says  UNKNOWN
R  479 Answer key says  UNKNOWN; system says  UNKNOWN
W  480 Answer key says      YES; system says  UNKNOWN
R  481 Answer key says      YES; system says      YES
R  482 Answer key says  UNKNOWN; system says  UNKNOWN
W  483 Answer key says      YES; system says  UNKNOWN
R  484 Answer key says  UNKNOWN; system says  UNKNOWN
W  485 Answer key says      YES; system says  UNKNOWN
W  486 Answer key says      YES; system says  UNKNOWN
W  487 Answer key says  UNKNOWN; system says      YES
W  488 Answer key says      YES; system says  UNKNOWN
W  489 Answer key says      YES; system says  UNKNOWN
R  490 Answer key says  UNKNOWN; system says  UNKNOWN
R  491 Answer key says      YES; system says      YES
W  492 Answer key says      YES; system says  UNKNOWN
W  493 Answer key says      YES; system says  UNKNOWN
R  494 Answer key says  UNKNOWN; system says  UNKNOWN
W  495 Answer key says      YES; system says  UNKNOWN
W  496 Answer key says      YES; system says  UNKNOWN
R  497 Answer key says  UNKNOWN; system says  UNKNOWN
R  498 Answer key says  UNKNOWN; system says  UNKNOWN
R  499 Answer key says      YES; system says      YES
R  500 Answer key says  UNKNOWN; system says  UNKNOWN
R  501 Answer key says      YES; system says      YES
R  502 Answer key says  UNKNOWN; system says  UNKNOWN
W  503 Answer key says      YES; system says  UNKNOWN
R  504 Answer key says  UNKNOWN; system says  UNKNOWN
R  505 Answer key says      YES; system says      YES
W  506 Answer key says      YES; system says  UNKNOWN
R  507 Answer key says  UNKNOWN; system says  UNKNOWN
R  508 Answer key says  UNKNOWN; system says  UNKNOWN
W  509 Answer key says      YES; system says  UNKNOWN
R  510 Answer key says  UNKNOWN; system says  UNKNOWN
R  511 Answer key says  UNKNOWN; system says  UNKNOWN
R  512 Answer key says  UNKNOWN; system says  UNKNOWN
R  513 Answer key says  UNKNOWN; system says  UNKNOWN
W  514 Answer key says      YES; system says  UNKNOWN
W  515 Answer key says      YES; system says  UNKNOWN
R  516 Answer key says  UNKNOWN; system says  UNKNOWN
R  517 Answer key says  UNKNOWN; system says  UNKNOWN
W  518 Answer key says      YES; system says  UNKNOWN
R  519 Answer key says  UNKNOWN; system says  UNKNOWN
R  520 Answer key says  UNKNOWN; system says  UNKNOWN
W  521 Answer key says      YES; system says  UNKNOWN
W  522 Answer key says      YES; system says  UNKNOWN
R  523 Answer key says  UNKNOWN; system says  UNKNOWN
R  524 Answer key says  UNKNOWN; system says  UNKNOWN
R  525 Answer key says  UNKNOWN; system says  UNKNOWN
W  526 Answer key says      YES; system says  UNKNOWN
W  527 Answer key says      YES; system says  UNKNOWN
W  528 Answer key says      YES; system says  UNKNOWN
R  529 Answer key says  UNKNOWN; system says  UNKNOWN
W  530 Answer key says      YES; system says  UNKNOWN
W  531 Answer key says      YES; system says  UNKNOWN
R  532 Answer key says  UNKNOWN; system says  UNKNOWN
W  533 Answer key says       NO; system says  UNKNOWN
R  534 Answer key says  UNKNOWN; system says  UNKNOWN
W  535 Answer key says      YES; system says  UNKNOWN
W  536 Answer key says      YES; system says  UNKNOWN
R  537 Answer key says  UNKNOWN; system says  UNKNOWN
W  538 Answer key says      YES; system says  UNKNOWN
W  539 Answer key says      YES; system says  UNKNOWN
W  540 Answer key says      YES; system says  UNKNOWN
R  541 Answer key says  UNKNOWN; system says  UNKNOWN
W  542 Answer key says       NO; system says  UNKNOWN
W  543 Answer key says      YES; system says  UNKNOWN
W  544 Answer key says      YES; system says  UNKNOWN
R  545 Answer key says  UNKNOWN; system says  UNKNOWN
R  546 Answer key says  UNKNOWN; system says  UNKNOWN
