Score report for run G

W    1 Answer key says      YES; system says  UNKNOWN
R  148 Answer key says      YES; system says      YES
R  149 Answer key says      YES; system says      YES
R  150 Answer key says  UNKNOWN; system says  UNKNOWN
W  151 Answer key says      YES; system says  UNKNOWN
W  152 Answer key says      YES; system says  UNKNOWN
R  153 Answer key says  UNKNOWN; system says  UNKNOWN
W  154 Answer key says       NO; system says      YES
W  155 Answer key says      YES; system says  UNKNOWN
W  156 Answer key says  UNKNOWN; system says      YES
W  157 Answer key says      YES; system says  UNKNOWN
W  158 Answer key says      YES; system says  UNKNOWN
W  159 Answer key says       NO; system says  UNKNOWN
R  160 Answer key says      YES; system says      YES
W  161 Answer key says  UNKNOWN; system says      YES
R  162 Answer key says      YES; system says      YES
R  163 Answer key says  UNKNOWN; system says  UNKNOWN
W  164 Answer key says       NO; system says  UNKNOWN
R  165 Answer key says      YES; system says      YES
R  166 Answer key says      YES; system says      YES
W  167 Answer key says      YES; system says  UNKNOWN
W  168 Answer key says      YES; system says  UNKNOWN
W  169 Answer key says      YES; system says  UNKNOWN
R  170 Answer key says  UNKNOWN; system says  UNKNOWN
W  171 Answer key says      YES; system says  UNKNOWN
R  172 Answer key says  UNKNOWN; system says  UNKNOWN
W  173 Answer key says      YES; system says  UNKNOWN
R  174 Answer key says  UNKNOWN; system says  UNKNOWN
R  175 Answer key says      YES; system says      YES
W  176 Answer key says      YES; system says  UNKNOWN
W  177 Answer key says      YES; system says  UNKNOWN
W  178 Answer key says      YES; system says  UNKNOWN
R  179 Answer key says  UNKNOWN; system says  UNKNOWN
W  180 Answer key says       NO; system says  UNKNOWN
W  181 Answer key says  UNKNOWN; system says      YES
R  182 Answer key says  UNKNOWN; system says  UNKNOWN
W  183 Answer key says  UNKNOWN; system says      YES
R  184 Answer key says      YES; system says      YES
W  185 Answer key says       NO; system says  UNKNOWN
W  186 Answer key says      YES; system says  UNKNOWN
W  187 Answer key says      YES; system says  UNKNOWN
W  188 Answer key says      YES; system says  UNKNOWN
W  189 Answer key says  UNKNOWN; system says       NO
W  190 Answer key says      YES; system says  UNKNOWN
R  191 Answer key says      YES; system says      YES
R  192 Answer key says  UNKNOWN; system says  UNKNOWN
R  193 Answer key says  UNKNOWN; system says  UNKNOWN
R  194 Answer key says  UNKNOWN; system says  UNKNOWN
W  195 Answer key says      YES; system says  UNKNOWN
W  196 Answer key says      YES; system says       NO
R  197 Answer key says      YES; system says      YES
W  198 Answer key says       NO; system says      YES
W  199 Answer key says      YES; system says  UNKNOWN
R  200 Answer key says  UNKNOWN; system says  UNKNOWN
W  201 Answer key says      YES; system says  UNKNOWN
R  202 Answer key says  UNKNOWN; system says  UNKNOWN
R  203 Answer key says      YES; system says      YES
R  204 Answer key says  UNKNOWN; system says  UNKNOWN
R  205 Answer key says  UNKNOWN; system says  UNKNOWN
W  206 Answer key says      YES; system says  UNKNOWN
W  207 Answer key says      YES; system says  UNKNOWN
W  208 Answer key says      YES; system says  UNKNOWN
W  209 Answer key says      YES; system says  UNKNOWN
W  210 Answer key says      YES; system says  UNKNOWN
W  211 Answer key says      YES; system says  UNKNOWN
R  212 Answer key says  UNKNOWN; system says  UNKNOWN
R  213 Answer key says  UNKNOWN; system says  UNKNOWN
R  214 Answer key says  UNKNOWN; system says  UNKNOWN
R  215 Answer key says  UNKNOWN; system says  UNKNOWN
W  216 Answer key says      YES; system says  UNKNOWN
W  217 Answer key says      YES; system says  UNKNOWN
R  218 Answer key says  UNKNOWN; system says  UNKNOWN
R  219 Answer key says  UNKNOWN; system says  UNKNOWN
R  220 Answer key says  UNKNOWN; system says  UNKNOWN
R  221 Answer key says      YES; system says      YES
W  222 Answer key says  UNKNOWN; system says      YES
R  223 Answer key says  UNKNOWN; system says  UNKNOWN
R  224 Answer key says      YES; system says      YES
W  225 Answer key says      YES; system says  UNKNOWN
R  226 Answer key says  UNKNOWN; system says  UNKNOWN
R  227 Answer key says  UNKNOWN; system says  UNKNOWN
W  228 Answer key says      YES; system says  UNKNOWN
W  229 Answer key says      YES; system says  UNKNOWN
R  230 Answer key says  UNKNOWN; system says  UNKNOWN
W  231 Answer key says      YES; system says  UNKNOWN
R  232 Answer key says  UNKNOWN; system says  UNKNOWN
R  233 Answer key says      YES; system says      YES
W  234 Answer key says      YES; system says  UNKNOWN
R  235 Answer key says      YES; system says      YES
W  236 Answer key says      YES; system says  UNKNOWN
R  237 Answer key says  UNKNOWN; system says  UNKNOWN
R  238 Answer key says  UNKNOWN; system says  UNKNOWN
W  239 Answer key says      YES; system says  UNKNOWN
W  240 Answer key says      YES; system says  UNKNOWN
R  241 Answer key says  UNKNOWN; system says  UNKNOWN
R  242 Answer key says  UNKNOWN; system says  UNKNOWN
R  243 Answer key says  UNKNOWN; system says  UNKNOWN
R  244 Answer key says  UNKNOWN; system says  UNKNOWN
R  245 Answer key says  UNKNOWN; system says  UNKNOWN
W  246 Answer key says      YES; system says  UNKNOWN
R  247 Answer key says  UNKNOWN; system says  UNKNOWN
W  248 Answer key says      YES; system says  UNKNOWN
W  249 Answer key says      YES; system says  UNKNOWN
W  250 Answer key says      YES; system says       NO
W  251 Answer key says  UNKNOWN; system says      YES
W  252 Answer key says      YES; system says  UNKNOWN
R  253 Answer key says  UNKNOWN; system says  UNKNOWN
R  254 Answer key says  UNKNOWN; system says  UNKNOWN
W  255 Answer key says      YES; system says  UNKNOWN
W  256 Answer key says      YES; system says  UNKNOWN
W  257 Answer key says  UNKNOWN; system says      YES
R  258 Answer key says      YES; system says      YES
R  259 Answer key says      YES; system says      YES
W  260 Answer key says  UNKNOWN; system says      YES
W  261 Answer key says      YES; system says  UNKNOWN
R  262 Answer key says  UNKNOWN; system says  UNKNOWN
R  263 Answer key says  UNKNOWN; system says  UNKNOWN
W  264 Answer key says      YES; system says  UNKNOWN
R  265 Answer key says  UNKNOWN; system says  UNKNOWN
W  266 Answer key says      YES; system says  UNKNOWN
W  267 Answer key says      YES; system says  UNKNOWN
R  268 Answer key says  UNKNOWN; system says  UNKNOWN
W  269 Answer key says      YES; system says  UNKNOWN
R  270 Answer key says  UNKNOWN; system says  UNKNOWN
R  271 Answer key says  UNKNOWN; system says  UNKNOWN
W  272 Answer key says      YES; system says  UNKNOWN
W  273 Answer key says      YES; system says  UNKNOWN
W  274 Answer key says      YES; system says  UNKNOWN
R  275 Answer key says  UNKNOWN; system says  UNKNOWN
R  276 Answer key says  UNKNOWN; system says  UNKNOWN
R  277 Answer key says  UNKNOWN; system says  UNKNOWN
W  278 Answer key says      YES; system says  UNKNOWN
R  279 Answer key says  UNKNOWN; system says  UNKNOWN
W  280 Answer key says      YES; system says  UNKNOWN
W  281 Answer key says      YES; system says  UNKNOWN
R  282 Answer key says  UNKNOWN; system says  UNKNOWN
R  283 Answer key says      YES; system says      YES
R  284 Answer key says      YES; system says      YES
R  285 Answer key says  UNKNOWN; system says  UNKNOWN
R  286 Answer key says      YES; system says      YES
R  287 Answer key says      YES; system says      YES
R  288 Answer key says      YES; system says      YES
W  289 Answer key says      YES; system says  UNKNOWN
W  290 Answer key says  UNKNOWN; system says       NO
R  291 Answer key says  UNKNOWN; system says  UNKNOWN
W  292 Answer key says      YES; system says  UNKNOWN
R  293 Answer key says  UNKNOWN; system says  UNKNOWN
R  294 Answer key says  UNKNOWN; system says  UNKNOWN
R  295 Answer key says  UNKNOWN; system says  UNKNOWN
W  296 Answer key says       NO; system says  UNKNOWN
W  297 Answer key says      YES; system says  UNKNOWN
W  298 Answer key says      YES; system says  UNKNOWN
W  299 Answer key says      YES; system says       NO
W  300 Answer key says  UNKNOWN; system says       NO
W  301 Answer key says  UNKNOWN; system says       NO
R  302 Answer key says  UNKNOWN; system says  UNKNOWN
W  303 Answer key says      YES; system says  UNKNOWN
R  304 Answer key says  UNKNOWN; system says  UNKNOWN
R  305 Answer key says  UNKNOWN; system says  UNKNOWN
R  306 Answer key says  UNKNOWN; system says  UNKNOWN
R  307 Answer key says  UNKNOWN; system says  UNKNOWN
R  308 Answer key says  UNKNOWN; system says  UNKNOWN
W  309 Answer key says      YES; system says  UNKNOWN
R  310 Answer key says  UNKNOWN; system says  UNKNOWN
W  311 Answer key says  UNKNOWN; system says      YES
R  312 Answer key says  UNKNOWN; system says  UNKNOWN
R  313 Answer key says  UNKNOWN; system says  UNKNOWN
R  314 Answer key says      YES; system says      YES
W  315 Answer key says      YES; system says  UNKNOWN
R  316 Answer key says  UNKNOWN; system says  UNKNOWN
R  317 Answer key says  UNKNOWN; system says  UNKNOWN
R  318 Answer key says  UNKNOWN; system says  UNKNOWN
R  319 Answer key says  UNKNOWN; system says  UNKNOWN
W  320 Answer key says      YES; system says  UNKNOWN
W  321 Answer key says  UNKNOWN; system says      YES
R  322 Answer key says  UNKNOWN; system says  UNKNOWN
R  323 Answer key says  UNKNOWN; system says  UNKNOWN
W  324 Answer key says      YES; system says  UNKNOWN
W  325 Answer key says      YES; system says  UNKNOWN
W  326 Answer key says      YES; system says       NO
W  327 Answer key says      YES; system says       NO
W  328 Answer key says      YES; system says  UNKNOWN
W  329 Answer key says  UNKNOWN; system says      YES
R  330 Answer key says  UNKNOWN; system says  UNKNOWN
R  331 Answer key says  UNKNOWN; system says  UNKNOWN
R  332 Answer key says  UNKNOWN; system says  UNKNOWN
W  333 Answer key says  UNKNOWN; system says      YES
W  334 Answer key says  UNKNOWN; system says       NO
W  335 Answer key says  UNKNOWN; system says      YES
W  336 Answer key says       NO; system says  UNKNOWN
R  337 Answer key says  UNKNOWN; system says  UNKNOWN
R  338 Answer key says  UNKNOWN; system says  UNKNOWN
R  339 Answer key says      YES; system says      YES
R  340 Answer key says      YES; system says      YES
R  341 Answer key says  UNKNOWN; system says  UNKNOWN
W  342 Answer key says      YES; system says  UNKNOWN
W  343 Answer key says      YES; system says  UNKNOWN
W  344 Answer key says  UNKNOWN; system says      YES
W  345 Answer key says       NO; system says  UNKNOWN
W  346 Answer key says      YES; system says  UNKNOWN
W  347 Answer key says  UNKNOWN; system says      YES
R  348 Answer key says      YES; system says      YES
R  349 Answer key says  UNKNOWN; system says  UNKNOWN
R  350 Answer key says  UNKNOWN; system says  UNKNOWN
R  351 Answer key says  UNKNOWN; system says  UNKNOWN
R  352 Answer key says  UNKNOWN; system says  UNKNOWN
W  353 Answer key says  UNKNOWN; system says      YES
W  354 Answer key says      YES; system says       NO
W  355 Answer key says      YES; system says  UNKNOWN
W  356 Answer key says      YES; system says  UNKNOWN
W  357 Answer key says      YES; system says  UNKNOWN
W  358 Answer key says      YES; system says  UNKNOWN
W  359 Answer key says  UNKNOWN; system says      YES
W  360 Answer key says  UNKNOWN; system says      YES
W  361 Answer key says      YES; system says  UNKNOWN
W  362 Answer key says      YES; system says  UNKNOWN
W  363 Answer key says  UNKNOWN; system says       NO
R  364 Answer key says  UNKNOWN; system says  UNKNOWN
R  365 Answer key says  UNKNOWN; system says  UNKNOWN
W  366 Answer key says      YES; system says  UNKNOWN
R  367 Answer key says      YES; system says      YES
W  368 Answer key says      YES; system says  UNKNOWN
W  369 Answer key says      YES; system says  UNKNOWN
R  370 Answer key says  UNKNOWN; system says  UNKNOWN
W  371 Answer key says      YES; system says  UNKNOWN
W  372 Answer key says      YES; system says       NO
W  373 Answer key says      YES; system says  UNKNOWN
W  374 Answer key says      YES; system says  UNKNOWN
R  375 Answer key says  UNKNOWN; system says  UNKNOWN
R  376 Answer key says      YES; system says      YES
R  377 Answer key says      YES; system says      YES
R  378 Answer key says      YES; system says      YES
R  379 Answer key says  UNKNOWN; system says  UNKNOWN
R  380 Answer key says  UNKNOWN; system says  UNKNOWN
R  381 Answer key says  UNKNOWN; system says  UNKNOWN
W  382 Answer key says      YES; system says  UNKNOWN
W  383 Answer key says  UNKNOWN; system says      YES
R  384 Answer key says  UNKNOWN; system says  UNKNOWN
W  385 Answer key says  UNKNOWN; system says      YES
W  386 Answer key says  UNKNOWN; system says      YES
R  387 Answer key says  UNKNOWN; system says  UNKNOWN
R  388 Answer key says  UNKNOWN; system says  UNKNOWN
W  389 Answer key says  UNKNOWN; system says      YES
W  390 Answer key says       NO; system says  UNKNOWN
R  391 Answer key says  UNKNOWN; system says  UNKNOWN
R  392 Answer key says  UNKNOWN; system says  UNKNOWN
R  393 Answer key says  UNKNOWN; system says  UNKNOWN
W  394 Answer key says  UNKNOWN; system says      YES
R  395 Answer key says  UNKNOWN; system says  UNKNOWN
R  396 Answer key says  UNKNOWN; system says  UNKNOWN
W  397 Answer key says  UNKNOWN; system says      YES
W  398 Answer key says  UNKNOWN; system says      YES
R  399 Answer key says  UNKNOWN; system says  UNKNOWN
R  400 Answer key says  UNKNOWN; system says  UNKNOWN
R  401 Answer key says      YES; system says      YES
W  402 Answer key says      YES; system says  UNKNOWN
R  403 Answer key says  UNKNOWN; system says  UNKNOWN
R  404 Answer key says  UNKNOWN; system says  UNKNOWN
W  405 Answer key says  UNKNOWN; system says      YES
W  406 Answer key says      YES; system says  UNKNOWN
R  407 Answer key says      YES; system says      YES
R  408 Answer key says      YES; system says      YES
W  409 Answer key says       NO; system says  UNKNOWN
R  410 Answer key says  UNKNOWN; system says  UNKNOWN
W  411 Answer key says      YES; system says       NO
W  412 Answer key says      YES; system says  UNKNOWN
W  413 Answer key says  UNKNOWN; system says      YES
W  414 Answer key says      YES; system says  UNKNOWN
W  415 Answer key says      YES; system says  UNKNOWN
R  416 Answer key says  UNKNOWN; system says  UNKNOWN
R  417 Answer key says      YES; system says      YES
W  418 Answer key says  UNKNOWN; system says      YES
W  419 Answer key says      YES; system says  UNKNOWN
R  420 Answer key says  UNKNOWN; system says  UNKNOWN
W  421 Answer key says      YES; system says       NO
W  422 Answer key says  UNKNOWN; system says      YES
W  423 Answer key says      YES; system says       NO
W  424 Answer key says      YES; system says  UNKNOWN
W  425 Answer key says       NO; system says  UNKNOWN
R  426 Answer key says      YES; system says      YES
R  427 Answer key says      YES; system says      YES
R  428 Answer key says  UNKNOWN; system says  UNKNOWN
R  429 Answer key says      YES; system says      YES
W  430 Answer key says      YES; system says  UNKNOWN
R  431 Answer key says  UNKNOWN; system says  UNKNOWN
W  432 Answer key says      YES; system says  UNKNOWN
W  433 Answer key says      YES; system says       NO
R  434 Answer key says  UNKNOWN; system says  UNKNOWN
R  435 Answer key says  UNKNOWN; system says  UNKNOWN
W  436 Answer key says      YES; system says  UNKNOWN
W  437 Answer key says      YES; system says       NO
W  438 Answer key says      YES; system says  UNKNOWN
R  439 Answer key says      YES; system says      YES
W  440 Answer key says  UNKNOWN; system says      YES
R  441 Answer key says  UNKNOWN; system says  UNKNOWN
W  442 Answer key says      YES; system says  UNKNOWN
W  443 Answer key says  UNKNOWN; system says      YES
R  444 Answer key says      YES; system says      YES
W  445 Answer key says      YES; system says  UNKNOWN
R  446 Answer key says      YES; system says      YES
W  447 Answer key says      YES; system says  UNKNOWN
R  448 Answer key says  UNKNOWN; system says  UNKNOWN
W  449 Answer key says      YES; system says  UNKNOWN
R  450 Answer key says  UNKNOWN; system says  UNKNOWN
R  451 Answer key says  UNKNOWN; system says  UNKNOWN
R  452 Answer key says      YES; system says      YES
R  453 Answer key says      YES; system says      YES
W  454 Answer key says      YES; system says  UNKNOWN
W  455 Answer key says  UNKNOWN; system says      YES
R  456 Answer key says      YES; system says      YES
W  457 Answer key says  UNKNOWN; system says      YES
W  458 Answer key says  UNKNOWN; system says      YES
R  459 Answer key says      YES; system says      YES
R  460 Answer key says      YES; system says      YES
R  461 Answer key says  UNKNOWN; system says  UNKNOWN
W  462 Answer key says      YES; system says  UNKNOWN
W  463 Answer key says       NO; system says      YES
W  464 Answer key says       NO; system says      YES
R  465 Answer key says  UNKNOWN; system says  UNKNOWN
R  466 Answer key says      YES; system says      YES
W  467 Answer key says  UNKNOWN; system says      YES
R  468 Answer key says      YES; system says      YES
W  469 Answer key says  UNKNOWN; system says      YES
R  470 Answer key says  UNKNOWN; system says  UNKNOWN
R  471 Answer key says      YES; system says      YES
W  472 Answer key says      YES; system says  UNKNOWN
W  473 Answer key says      YES; system says       NO
R  474 Answer key says      YES; system says      YES
W  475 Answer key says      YES; system says  UNKNOWN
R  476 Answer key says      YES; system says      YES
R  477 Answer key says  UNKNOWN; system says  UNKNOWN
W  478 Answer key says      YES; system says  UNKNOWN
R  479 Answer key says  UNKNOWN; system says  UNKNOWN
W  480 Answer key says      YES; system says  UNKNOWN
W  481 Answer key says      YES; system says  UNKNOWN
W  482 Answer key says  UNKNOWN; system says      YES
R  483 Answer key says      YES; system says      YES
R  484 Answer key says  UNKNOWN; system says  UNKNOWN
R  485 Answer key says      YES; system says      YES
W  486 Answer key says      YES; system says  UNKNOWN
W  487 Answer key says  UNKNOWN; system says      YES
W  488 Answer key says      YES; system says       NO
R  489 Answer key says      YES; system says      YES
R  490 Answer key says  UNKNOWN; system says  UNKNOWN
R  491 Answer key says      YES; system says      YES
R  492 Answer key says      YES; system says      YES
R  493 Answer key says      YES; system says      YES
R  494 Answer key says  UNKNOWN; system says  UNKNOWN
W  495 Answer key says      YES; system says       NO
R  496 Answer key says      YES; system says      YES
R  497 Answer key says  UNKNOWN; system says  UNKNOWN
W  498 Answer key says  UNKNOWN; system says      YES
R  499 Answer key says      YES; system says      YES
R  500 Answer key says  UNKNOWN; system says  UNKNOWN
R  501 Answer key says      YES; system says      YES
W  502 Answer key says  UNKNOWN; system says      YES
W  503 Answer key says      YES; system says  UNKNOWN
W  504 Answer key says  UNKNOWN; system says      YES
R  505 Answer key says      YES; system says      YES
R  506 Answer key says      YES; system says      YES
W  507 Answer key says  UNKNOWN; system says      YES
W  508 Answer key says  UNKNOWN; system says      YES
R  509 Answer key says      YES; system says      YES
W  510 Answer key says  UNKNOWN; system says      YES
R  511 Answer key says  UNKNOWN; system says  UNKNOWN
W  512 Answer key says  UNKNOWN; system says      YES
R  513 Answer key says  UNKNOWN; system says  UNKNOWN
R  514 Answer key says      YES; system says      YES
W  515 Answer key says      YES; system says  UNKNOWN
R  516 Answer key says  UNKNOWN; system says  UNKNOWN
R  517 Answer key says  UNKNOWN; system says  UNKNOWN
W  518 Answer key says      YES; system says  UNKNOWN
R  519 Answer key says  UNKNOWN; system says  UNKNOWN
R  520 Answer key says  UNKNOWN; system says  UNKNOWN
R  521 Answer key says      YES; system says      YES
R  522 Answer key says      YES; system says      YES
R  523 Answer key says  UNKNOWN; system says  UNKNOWN
W  524 Answer key says  UNKNOWN; system says       NO
W  525 Answer key says  UNKNOWN; system says       NO
W  526 Answer key says      YES; system says  UNKNOWN
W  527 Answer key says      YES; system says  UNKNOWN
W  528 Answer key says      YES; system says  UNKNOWN
R  529 Answer key says  UNKNOWN; system says  UNKNOWN
W  530 Answer key says      YES; system says  UNKNOWN
R  531 Answer key says      YES; system says      YES
W  532 Answer key says  UNKNOWN; system says      YES
W  533 Answer key says       NO; system says      YES
R  534 Answer key says  UNKNOWN; system says  UNKNOWN
R  535 Answer key says      YES; system says      YES
W  536 Answer key says      YES; system says  UNKNOWN
R  537 Answer key says  UNKNOWN; system says  UNKNOWN
R  538 Answer key says      YES; system says      YES
R  539 Answer key says      YES; system says      YES
W  540 Answer key says      YES; system says  UNKNOWN
R  541 Answer key says  UNKNOWN; system says  UNKNOWN
W  542 Answer key says       NO; system says      YES
W  543 Answer key says      YES; system says  UNKNOWN
R  544 Answer key says      YES; system says      YES
R  545 Answer key says  UNKNOWN; system says  UNKNOWN
R  546 Answer key says  UNKNOWN; system says  UNKNOWN
W  547 Answer key says      YES; system says       NO
W  548 Answer key says      YES; system says  UNKNOWN
R  549 Answer key says      YES; system says      YES
R  550 Answer key says      YES; system says      YES
R  551 Answer key says       NO; system says       NO
W  552 Answer key says      YES; system says  UNKNOWN
R  553 Answer key says      YES; system says      YES
R  554 Answer key says  UNKNOWN; system says  UNKNOWN
W  555 Answer key says  UNKNOWN; system says      YES
W  556 Answer key says      YES; system says  UNKNOWN
W  557 Answer key says      YES; system says  UNKNOWN
R  558 Answer key says  UNKNOWN; system says  UNKNOWN
R  559 Answer key says      YES; system says      YES
W  560 Answer key says      YES; system says  UNKNOWN
W  561 Answer key says      YES; system says  UNKNOWN
R  562 Answer key says  UNKNOWN; system says  UNKNOWN
W  563 Answer key says  UNKNOWN; system says       NO
R  564 Answer key says  UNKNOWN; system says  UNKNOWN
W  565 Answer key says  UNKNOWN; system says       NO
W  566 Answer key says      YES; system says  UNKNOWN
R  567 Answer key says  UNKNOWN; system says  UNKNOWN
R  568 Answer key says  UNKNOWN; system says  UNKNOWN
W  569 Answer key says      YES; system says  UNKNOWN
R  570 Answer key says  UNKNOWN; system says  UNKNOWN
R  571 Answer key says  UNKNOWN; system says  UNKNOWN
R  572 Answer key says  UNKNOWN; system says  UNKNOWN
R  573 Answer key says  UNKNOWN; system says  UNKNOWN
W  574 Answer key says      YES; system says  UNKNOWN
W  575 Answer key says       NO; system says  UNKNOWN
W  576 Answer key says      YES; system says  UNKNOWN
W  577 Answer key says  UNKNOWN; system says      YES
