Score report for run E

W    1 Answer key says      YES; system says  UNKNOWN
R   73 Answer key says  UNKNOWN; system says  UNKNOWN
W   74 Answer key says      YES; system says  UNKNOWN
W   75 Answer key says      YES; system says  UNKNOWN
W   76 Answer key says      YES; system says  UNKNOWN
W   77 Answer key says       NO; system says  UNKNOWN
W   78 Answer key says      YES; system says  UNKNOWN
R   79 Answer key says  UNKNOWN; system says  UNKNOWN
W   80 Answer key says      YES; system says  UNKNOWN
W   81 Answer key says       NO; system says  UNKNOWN
W   82 Answer key says      YES; system says  UNKNOWN
W   83 Answer key says      YES; system says  UNKNOWN
W   84 Answer key says       NO; system says  UNKNOWN
W   85 Answer key says       NO; system says  UNKNOWN
W   86 Answer key says      YES; system says  UNKNOWN
W   87 Answer key says      YES; system says  UNKNOWN
W   88 Answer key says      YES; system says  UNKNOWN
W   89 Answer key says       NO; system says  UNKNOWN
W   90 Answer key says       NO; system says  UNKNOWN
W   91 Answer key says      YES; system says  UNKNOWN
R   92 Answer key says  UNKNOWN; system says  UNKNOWN
W   93 Answer key says      YES; system says  UNKNOWN
W   94 Answer key says      YES; system says  UNKNOWN
W   95 Answer key says      YES; system says  UNKNOWN
W   96 Answer key says      YES; system says  UNKNOWN
W   97 Answer key says      YES; system says  UNKNOWN
W   98 Answer key says       NO; system says  UNKNOWN
W   99 Answer key says       NO; system says  UNKNOWN
R  100 Answer key says  UNKNOWN; system says  UNKNOWN
R  101 Answer key says  UNKNOWN; system says  UNKNOWN
R  102 Answer key says  UNKNOWN; system says  UNKNOWN
R  103 Answer key says  UNKNOWN; system says  UNKNOWN
R  104 Answer key says  UNKNOWN; system says  UNKNOWN
W  105 Answer key says      YES; system says  UNKNOWN
W  106 Answer key says      YES; system says  UNKNOWN
W  107 Answer key says      YES; system says  UNKNOWN
R  108 Answer key says  UNKNOWN; system says  UNKNOWN
R  109 Answer key says  UNKNOWN; system says  UNKNOWN
W  110 Answer key says      YES; system says  UNKNOWN
W  111 Answer key says       NO; system says  UNKNOWN
W  112 Answer key says      YES; system says  UNKNOWN
W  113 Answer key says      YES; system says  UNKNOWN
R  114 Answer key says      YES; system says      YES
W  115 Answer key says  UNKNOWN; system says      YES
W  116 Answer key says      YES; system says  UNKNOWN
W  117 Answer key says      YES; system says  UNKNOWN
W  118 Answer key says      YES; system says  UNKNOWN
R  119 Answer key says  UNKNOWN; system says  UNKNOWN
W  120 Answer key says       NO; system says  UNKNOWN
W  121 Answer key says      YES; system says  UNKNOWN
W  122 Answer key says      YES; system says  UNKNOWN
W  123 Answer key says      YES; system says  UNKNOWN
W  124 Answer key says       NO; system says  UNKNOWN
W  125 Answer key says       NO; system says      YES
R  126 Answer key says      YES; system says      YES
W  127 Answer key says       NO; system says  UNKNOWN
W  128 Answer key says      YES; system says  UNKNOWN
W  129 Answer key says      YES; system says  UNKNOWN
R  130 Answer key says  UNKNOWN; system says  UNKNOWN
W  131 Answer key says       NO; system says  UNKNOWN
R  132 Answer key says      YES; system says      YES
W  133 Answer key says       NO; system says  UNKNOWN
W  134 Answer key says       NO; system says  UNKNOWN
R  135 Answer key says  UNKNOWN; system says  UNKNOWN
R  136 Answer key says  UNKNOWN; system says  UNKNOWN
W  137 Answer key says      YES; system says  UNKNOWN
W  138 Answer key says      YES; system says  UNKNOWN
W  139 Answer key says       NO; system says  UNKNOWN
R  140 Answer key says  UNKNOWN; system says  UNKNOWN
W  141 Answer key says       NO; system says  UNKNOWN
R  142 Answer key says  UNKNOWN; system says  UNKNOWN
W  143 Answer key says  UNKNOWN; system says      YES
W  144 Answer key says      YES; system says  UNKNOWN
R  145 Answer key says  UNKNOWN; system says  UNKNOWN
R  146 Answer key says  UNKNOWN; system says  UNKNOWN
R  147 Answer key says  UNKNOWN; system says  UNKNOWN
W  148 Answer key says      YES; system says  UNKNOWN
W  149 Answer key says      YES; system says  UNKNOWN
W  150 Answer key says  UNKNOWN; system says      YES
R  151 Answer key says      YES; system says      YES
W  152 Answer key says      YES; system says  UNKNOWN
R  153 Answer key says  UNKNOWN; system says  UNKNOWN
W  154 Answer key says       NO; system says  UNKNOWN
W  155 Answer key says      YES; system says  UNKNOWN
R  156 Answer key says  UNKNOWN; system says  UNKNOWN
W  157 Answer key says      YES; system says  UNKNOWN
W  158 Answer key says      YES; system says  UNKNOWN
W  159 Answer key says       NO; system says  UNKNOWN
W  160 Answer key says      YES; system says  UNKNOWN
R  161 Answer key says  UNKNOWN; system says  UNKNOWN
W  162 Answer key says      YES; system says  UNKNOWN
R  163 Answer key says  UNKNOWN; system says  UNKNOWN
W  164 Answer key says       NO; system says  UNKNOWN
W  165 Answer key says      YES; system says  UNKNOWN
W  166 Answer key says      YES; system says  UNKNOWN
R  167 Answer key says      YES; system says      YES
W  168 Answer key says      YES; system says  UNKNOWN
W  169 Answer key says      YES; system says  UNKNOWN
R  170 Answer key says  UNKNOWN; system says  UNKNOWN
R  171 Answer key says      YES; system says      YES
R  172 Answer key says  UNKNOWN; system says  UNKNOWN
W  173 Answer key says      YES; system says  UNKNOWN
R  174 Answer key says  UNKNOWN; system says  UNKNOWN
W  175 Answer key says      YES; system says  UNKNOWN
W  176 Answer key says      YES; system says  UNKNOWN
W  177 Answer key says      YES; system says  UNKNOWN
W  178 Answer key says      YES; system says  UNKNOWN
R  179 Answer key says  UNKNOWN; system says  UNKNOWN
W  180 Answer key says       NO; system says  UNKNOWN
R  181 Answer key says  UNKNOWN; system says  UNKNOWN
R  182 Answer key says  UNKNOWN; system says  UNKNOWN
R  183 Answer key says  UNKNOWN; system says  UNKNOWN
W  184 Answer key says      YES; system says  UNKNOWN
W  185 Answer key says       NO; system says  UNKNOWN
W  186 Answer key says      YES; system says  UNKNOWN
W  187 Answer key says      YES; system says  UNKNOWN
W  188 Answer key says      YES; system says  UNKNOWN
W  189 Answer key says  UNKNOWN; system says      YES
W  190 Answer key says      YES; system says  UNKNOWN
W  191 Answer key says      YES; system says  UNKNOWN
R  192 Answer key says  UNKNOWN; system says  UNKNOWN
R  193 Answer key says  UNKNOWN; system says  UNKNOWN
R  194 Answer key says  UNKNOWN; system says  UNKNOWN
W  195 Answer key says      YES; system says  UNKNOWN
W  196 Answer key says      YES; system says  UNKNOWN
W  197 Answer key says      YES; system says  UNKNOWN
W  198 Answer key says       NO; system says  UNKNOWN
W  199 Answer key says      YES; system says  UNKNOWN
R  200 Answer key says  UNKNOWN; system says  UNKNOWN
W  201 Answer key says      YES; system says  UNKNOWN
R  202 Answer key says  UNKNOWN; system says  UNKNOWN
R  203 Answer key says      YES; system says      YES
R  204 Answer key says  UNKNOWN; system says  UNKNOWN
W  205 Answer key says  UNKNOWN; system says      YES
W  206 Answer key says      YES; system says  UNKNOWN
W  207 Answer key says      YES; system says  UNKNOWN
W  208 Answer key says      YES; system says  UNKNOWN
W  209 Answer key says      YES; system says  UNKNOWN
W  210 Answer key says      YES; system says  UNKNOWN
W  211 Answer key says      YES; system says       NO
R  212 Answer key says  UNKNOWN; system says  UNKNOWN
R  213 Answer key says  UNKNOWN; system says  UNKNOWN
R  214 Answer key says  UNKNOWN; system says  UNKNOWN
R  215 Answer key says  UNKNOWN; system says  UNKNOWN
R  216 Answer key says      YES; system says      YES
W  217 Answer key says      YES; system says  UNKNOWN
R  218 Answer key says  UNKNOWN; system says  UNKNOWN
R  219 Answer key says  UNKNOWN; system says  UNKNOWN
R  220 Answer key says  UNKNOWN; system says  UNKNOWN
W  221 Answer key says      YES; system says  UNKNOWN
R  222 Answer key says  UNKNOWN; system says  UNKNOWN
R  223 Answer key says  UNKNOWN; system says  UNKNOWN
R  224 Answer key says      YES; system says      YES
W  225 Answer key says      YES; system says  UNKNOWN
R  226 Answer key says  UNKNOWN; system says  UNKNOWN
W  227 Answer key says  UNKNOWN; system says      YES
W  228 Answer key says      YES; system says  UNKNOWN
W  229 Answer key says      YES; system says  UNKNOWN
R  230 Answer key says  UNKNOWN; system says  UNKNOWN
W  231 Answer key says      YES; system says  UNKNOWN
R  232 Answer key says  UNKNOWN; system says  UNKNOWN
R  233 Answer key says      YES; system says      YES
R  234 Answer key says      YES; system says      YES
W  235 Answer key says      YES; system says  UNKNOWN
W  236 Answer key says      YES; system says  UNKNOWN
R  237 Answer key says  UNKNOWN; system says  UNKNOWN
R  238 Answer key says  UNKNOWN; system says  UNKNOWN
W  239 Answer key says      YES; system says  UNKNOWN
W  240 Answer key says      YES; system says  UNKNOWN
R  241 Answer key says  UNKNOWN; system says  UNKNOWN
R  242 Answer key says  UNKNOWN; system says  UNKNOWN
R  243 Answer key says  UNKNOWN; system says  UNKNOWN
R  244 Answer key says  UNKNOWN; system says  UNKNOWN
W  245 Answer key says  UNKNOWN; system says      YES
W  246 Answer key says      YES; system says  UNKNOWN
R  247 Answer key says  UNKNOWN; system says  UNKNOWN
R  248 Answer key says      YES; system says      YES
W  249 Answer key says      YES; system says  UNKNOWN
W  250 Answer key says      YES; system says  UNKNOWN
R  251 Answer key says  UNKNOWN; system says  UNKNOWN
W  252 Answer key says      YES; system says  UNKNOWN
R  253 Answer key says  UNKNOWN; system says  UNKNOWN
R  254 Answer key says  UNKNOWN; system says  UNKNOWN
W  255 Answer key says      YES; system says  UNKNOWN
W  256 Answer key says      YES; system says  UNKNOWN
W  257 Answer key says  UNKNOWN; system says       NO
W  258 Answer key says      YES; system says  UNKNOWN
W  259 Answer key says      YES; system says       NO
W  260 Answer key says  UNKNOWN; system says      YES
W  261 Answer key says      YES; system says  UNKNOWN
R  262 Answer key says  UNKNOWN; system says  UNKNOWN
R  263 Answer key says  UNKNOWN; system says  UNKNOWN
W  264 Answer key says      YES; system says  UNKNOWN
R  265 Answer key says  UNKNOWN; system says  UNKNOWN
W  266 Answer key says      YES; system says  UNKNOWN
R  267 Answer key says      YES; system says      YES
R  268 Answer key says  UNKNOWN; system says  UNKNOWN
R  269 Answer key says      YES; system says      YES
R  270 Answer key says  UNKNOWN; system says  UNKNOWN
W  271 Answer key says  UNKNOWN; system says      YES
W  272 Answer key says      YES; system says  UNKNOWN
R  273 Answer key says      YES; system says      YES
R  274 Answer key says      YES; system says      YES
W  275 Answer key says  UNKNOWN; system says       NO
R  276 Answer key says  UNKNOWN; system says  UNKNOWN
R  277 Answer key says  UNKNOWN; system says  UNKNOWN
W  278 Answer key says      YES; system says  UNKNOWN
R  279 Answer key says  UNKNOWN; system says  UNKNOWN
W  280 Answer key says      YES; system says  UNKNOWN
R  281 Answer key says      YES; system says      YES
R  282 Answer key says  UNKNOWN; system says  UNKNOWN
R  283 Answer key says      YES; system says      YES
W  284 Answer key says      YES; system says  UNKNOWN
R  285 Answer key says  UNKNOWN; system says  UNKNOWN
W  286 Answer key says      YES; system says  UNKNOWN
W  287 Answer key says      YES; system says  UNKNOWN
W  288 Answer key says      YES; system says  UNKNOWN
W  289 Answer key says      YES; system says  UNKNOWN
R  290 Answer key says  UNKNOWN; system says  UNKNOWN
R  291 Answer key says  UNKNOWN; system says  UNKNOWN
W  292 Answer key says      YES; system says  UNKNOWN
R  293 Answer key says  UNKNOWN; system says  UNKNOWN
R  294 Answer key says  UNKNOWN; system says  UNKNOWN
W  295 Answer key says  UNKNOWN; system says      YES
W  296 Answer key says       NO; system says      YES
W  297 Answer key says      YES; system says  UNKNOWN
W  298 Answer key says      YES; system says  UNKNOWN
R  299 Answer key says      YES; system says      YES
R  300 Answer key says  UNKNOWN; system says  UNKNOWN
R  301 Answer key says  UNKNOWN; system says  UNKNOWN
R  302 Answer key says  UNKNOWN; system says  UNKNOWN
W  303 Answer key says      YES; system says  UNKNOWN
W  304 Answer key says  UNKNOWN; system says      YES
R  305 Answer key says  UNKNOWN; system says  UNKNOWN
R  306 Answer key says  UNKNOWN; system says  UNKNOWN
W  307 Answer key says  UNKNOWN; system says      YES
R  308 Answer key says  UNKNOWN; system says  UNKNOWN
R  309 Answer key says      YES; system says      YES
R  310 Answer key says  UNKNOWN; system says  UNKNOWN
R  311 Answer key says  UNKNOWN; system says  UNKNOWN
R  312 Answer key says  UNKNOWN; system says  UNKNOWN
R  313 Answer key says  UNKNOWN; system says  UNKNOWN
R  314 Answer key says      YES; system says      YES
W  315 Answer key says      YES; system says  UNKNOWN
R  316 Answer key says  UNKNOWN; system says  UNKNOWN
R  317 Answer key says  UNKNOWN; system says  UNKNOWN
R  318 Answer key says  UNKNOWN; system says  UNKNOWN
W  319 Answer key says  UNKNOWN; system says      YES
W  320 Answer key says      YES; system says  UNKNOWN
R  321 Answer key says  UNKNOWN; system says  UNKNOWN
R  322 Answer key says  UNKNOWN; system says  UNKNOWN
R  323 Answer key says  UNKNOWN; system says  UNKNOWN
W  324 Answer key says      YES; system says  UNKNOWN
W  325 Answer key says      YES; system says  UNKNOWN
W  326 Answer key says      YES; system says  UNKNOWN
W  327 Answer key says      YES; system says  UNKNOWN
W  328 Answer key says      YES; system says  UNKNOWN
R  329 Answer key says  UNKNOWN; system says  UNKNOWN
W  330 Answer key says  UNKNOWN; system says       NO
R  331 Answer key says  UNKNOWN; system says  UNKNOWN
W  332 Answer key says  UNKNOWN; system says      YES
R  333 Answer key says  UNKNOWN; system says  UNKNOWN
R  334 Answer key says  UNKNOWN; system says  UNKNOWN
W  335 Answer key says  UNKNOWN; system says      YES
W  336 Answer key says       NO; system says  UNKNOWN
R  337 Answer key says  UNKNOWN; system says  UNKNOWN
R  338 Answer key says  UNKNOWN; system says  UNKNOWN
W  339 Answer key says      YES; system says  UNKNOWN
R  340 Answer key says      YES; system says      YES
R  341 Answer key says  UNKNOWN; system says  UNKNOWN
R  342 Answer key says      YES; system says      YES
W  343 Answer key says      YES; system says  UNKNOWN
R  344 Answer key says  UNKNOWN; system says  UNKNOWN
W  345 Answer key says       NO; system says  UNKNOWN
W  346 Answer key says      YES; system says  UNKNOWN
R  347 Answer key says  UNKNOWN; system says  UNKNOWN
W  348 Answer key says      YES; system says  UNKNOWN
W  349 Answer key says  UNKNOWN; system says       NO
R  350 Answer key says  UNKNOWN; system says  UNKNOWN
R  351 Answer key says  UNKNOWN; system says  UNKNOWN
R  352 Answer key says  UNKNOWN; system says  UNKNOWN
R  353 Answer key says  UNKNOWN; system says  UNKNOWN
W  354 Answer key says      YES; system says  UNKNOWN
W  355 Answer key says      YES; system says  UNKNOWN
R  356 Answer key says      YES; system says      YES
R  357 Answer key says      YES; system says      YES
R  358 Answer key says      YES; system says      YES
R  359 Answer key says  UNKNOWN; system says  UNKNOWN
R  360 Answer key says  UNKNOWN; system says  UNKNOWN
W  361 Answer key says      YES; system says  UNKNOWN
W  362 Answer key says      YES; system says  UNKNOWN
R  363 Answer key says  UNKNOWN; system says  UNKNOWN
R  364 Answer key says  UNKNOWN; system says  UNKNOWN
R  365 Answer key says  UNKNOWN; system says  UNKNOWN
R  366 Answer key says      YES; system says      YES
R  367 Answer key says      YES; system says      YES
R  368 Answer key says      YES; system says      YES
W  369 Answer key says      YES; system says  UNKNOWN
R  370 Answer key says  UNKNOWN; system says  UNKNOWN
R  371 Answer key says      YES; system says      YES
R  372 Answer key says      YES; system says      YES
W  373 Answer key says      YES; system says  UNKNOWN
R  374 Answer key says      YES; system says      YES
R  375 Answer key says  UNKNOWN; system says  UNKNOWN
R  376 Answer key says      YES; system says      YES
W  377 Answer key says      YES; system says  UNKNOWN
W  378 Answer key says      YES; system says  UNKNOWN
W  379 Answer key says  UNKNOWN; system says       NO
R  380 Answer key says  UNKNOWN; system says  UNKNOWN
R  381 Answer key says  UNKNOWN; system says  UNKNOWN
W  382 Answer key says      YES; system says  UNKNOWN
R  383 Answer key says  UNKNOWN; system says  UNKNOWN
R  384 Answer key says  UNKNOWN; system says  UNKNOWN
R  385 Answer key says  UNKNOWN; system says  UNKNOWN
R  386 Answer key says  UNKNOWN; system says  UNKNOWN
R  387 Answer key says  UNKNOWN; system says  UNKNOWN
W  388 Answer key says  UNKNOWN; system says       NO
R  389 Answer key says  UNKNOWN; system says  UNKNOWN
W  390 Answer key says       NO; system says      YES
R  391 Answer key says  UNKNOWN; system says  UNKNOWN
W  392 Answer key says  UNKNOWN; system says       NO
R  393 Answer key says  UNKNOWN; system says  UNKNOWN
R  394 Answer key says  UNKNOWN; system says  UNKNOWN
R  395 Answer key says  UNKNOWN; system says  UNKNOWN
R  396 Answer key says  UNKNOWN; system says  UNKNOWN
R  397 Answer key says  UNKNOWN; system says  UNKNOWN
R  398 Answer key says  UNKNOWN; system says  UNKNOWN
R  399 Answer key says  UNKNOWN; system says  UNKNOWN
R  400 Answer key says  UNKNOWN; system says  UNKNOWN
R  401 Answer key says      YES; system says      YES
R  402 Answer key says      YES; system says      YES
R  403 Answer key says  UNKNOWN; system says  UNKNOWN
W  404 Answer key says  UNKNOWN; system says       NO
R  405 Answer key says  UNKNOWN; system says  UNKNOWN
R  406 Answer key says      YES; system says      YES
R  407 Answer key says      YES; system says      YES
R  408 Answer key says      YES; system says      YES
W  409 Answer key says       NO; system says      YES
W  410 Answer key says  UNKNOWN; system says       NO
R  411 Answer key says      YES; system says      YES
R  412 Answer key says      YES; system says      YES
R  413 Answer key says  UNKNOWN; system says  UNKNOWN
W  414 Answer key says      YES; system says  UNKNOWN
R  415 Answer key says      YES; system says      YES
R  416 Answer key says  UNKNOWN; system says  UNKNOWN
R  417 Answer key says      YES; system says      YES
W  418 Answer key says  UNKNOWN; system says       NO
R  419 Answer key says      YES; system says      YES
R  420 Answer key says  UNKNOWN; system says  UNKNOWN
W  421 Answer key says      YES; system says       NO
R  422 Answer key says  UNKNOWN; system says  UNKNOWN
R  423 Answer key says      YES; system says      YES
W  424 Answer key says      YES; system says  UNKNOWN
W  425 Answer key says       NO; system says  UNKNOWN
W  426 Answer key says      YES; system says  UNKNOWN
R  427 Answer key says      YES; system says      YES
W  428 Answer key says  UNKNOWN; system says       NO
R  429 Answer key says      YES; system says      YES
R  430 Answer key says      YES; system says      YES
W  431 Answer key says  UNKNOWN; system says      YES
W  432 Answer key says      YES; system says       NO
R  433 Answer key says      YES; system says      YES
R  434 Answer key says  UNKNOWN; system says  UNKNOWN
R  435 Answer key says  UNKNOWN; system says  UNKNOWN
R  436 Answer key says      YES; system says      YES
R  437 Answer key says      YES; system says      YES
R  438 Answer key says      YES; system says      YES
W  439 Answer key says      YES; system says  UNKNOWN
W  440 Answer key says  UNKNOWN; system says       NO
R  441 Answer key says  UNKNOWN; system says  UNKNOWN
R  442 Answer key says      YES; system says      YES
R  443 Answer key says  UNKNOWN; system says  UNKNOWN
R  444 Answer key says      YES; system says      YES
W  445 Answer key says      YES; system says  UNKNOWN
R  446 Answer key says      YES; system says      YES
R  447 Answer key says      YES; system says      YES
R  448 Answer key says  UNKNOWN; system says  UNKNOWN
R  449 Answer key says      YES; system says      YES
W  450 Answer key says  UNKNOWN; system says       NO
R  451 Answer key says  UNKNOWN; system says  UNKNOWN
W  452 Answer key says      YES; system says  UNKNOWN
W  453 Answer key says      YES; system says       NO
W  454 Answer key says      YES; system says  UNKNOWN
W  455 Answer key says  UNKNOWN; system says       NO
R  456 Answer key says      YES; system says      YES
W  457 Answer key says  UNKNOWN; system says      YES
R  458 Answer key says  UNKNOWN; system says  UNKNOWN
R  459 Answer key says      YES; system says      YES
W  460 Answer key says      YES; system says  UNKNOWN
W  461 Answer key says  UNKNOWN; system says       NO
R  462 Answer key says      YES; system says      YES
W  463 Answer key says       NO; system says      YES
W  464 Answer key says       NO; system says      YES
R  465 Answer key says  UNKNOWN; system says  UNKNOWN
R  466 Answer key says      YES; system says      YES
W  467 Answer key says  UNKNOWN; system says      YES
R  468 Answer key says      YES; system says      YES
R  469 Answer key says  UNKNOWN; system says  UNKNOWN
R  470 Answer key says  UNKNOWN; system says  UNKNOWN
R  471 Answer key says      YES; system says      YES
R  472 Answer key says      YES; system says      YES
W  473 Answer key says      YES; system says  UNKNOWN
W  474 Answer key says      YES; system says       NO
W  475 Answer key says      YES; system says  UNKNOWN
R  476 Answer key says      YES; system says      YES
W  477 Answer key says  UNKNOWN; system says       NO
W  478 Answer key says      YES; system says  UNKNOWN
W  479 Answer key says  UNKNOWN; system says       NO
R  480 Answer key says      YES; system says      YES
W  481 Answer key says      YES; system says  UNKNOWN
R  482 Answer key says  UNKNOWN; system says  UNKNOWN
W  483 Answer key says      YES; system says  UNKNOWN
W  484 Answer key says  UNKNOWN; system says       NO
W  485 Answer key says      YES; system says  UNKNOWN
W  486 Answer key says      YES; system says  UNKNOWN
W  487 Answer key says  UNKNOWN; system says      YES
R  488 Answer key says      YES; system says      YES
R  489 Answer key says      YES; system says      YES
R  490 Answer key says  UNKNOWN; system says  UNKNOWN
R  491 Answer key says      YES; system says      YES
R  492 Answer key says      YES; system says      YES
R  493 Answer key says      YES; system says      YES
W  494 Answer key says  UNKNOWN; system says       NO
W  495 Answer key says      YES; system says  UNKNOWN
R  496 Answer key says      YES; system says      YES
W  497 Answer key says  UNKNOWN; system says       NO
W  498 Answer key says  UNKNOWN; system says      YES
R  499 Answer key says      YES; system says      YES
R  500 Answer key says  UNKNOWN; system says  UNKNOWN
R  501 Answer key says      YES; system says      YES
W  502 Answer key says  UNKNOWN; system says       NO
W  503 Answer key says      YES; system says  UNKNOWN
W  504 Answer key says  UNKNOWN; system says      YES
W  505 Answer key says      YES; system says  UNKNOWN
R  506 Answer key says      YES; system says      YES
R  507 Answer key says  UNKNOWN; system says  UNKNOWN
R  508 Answer key says  UNKNOWN; system says  UNKNOWN
R  509 Answer key says      YES; system says      YES
R  510 Answer key says  UNKNOWN; system says  UNKNOWN
W  511 Answer key says  UNKNOWN; system says       NO
W  512 Answer key says  UNKNOWN; system says      YES
W  513 Answer key says  UNKNOWN; system says      YES
R  514 Answer key says      YES; system says      YES
W  515 Answer key says      YES; system says  UNKNOWN
R  516 Answer key says  UNKNOWN; system says  UNKNOWN
R  517 Answer key says  UNKNOWN; system says  UNKNOWN
R  518 Answer key says      YES; system says      YES
W  519 Answer key says  UNKNOWN; system says       NO
R  520 Answer key says  UNKNOWN; system says  UNKNOWN
R  521 Answer key says      YES; system says      YES
R  522 Answer key says      YES; system says      YES
R  523 Answer key says  UNKNOWN; system says  UNKNOWN
W  524 Answer key says  UNKNOWN; system says       NO
W  525 Answer key says  UNKNOWN; system says       NO
W  526 Answer key says      YES; system says       NO
W  527 Answer key says      YES; system says  UNKNOWN
W  528 Answer key says      YES; system says  UNKNOWN
W  529 Answer key says  UNKNOWN; system says       NO
W  530 Answer key says      YES; system says  UNKNOWN
R  531 Answer key says      YES; system says      YES
R  532 Answer key says  UNKNOWN; system says  UNKNOWN
W  533 Answer key says       NO; system says      YES
W  534 Answer key says  UNKNOWN; system says      YES
R  535 Answer key says      YES; system says      YES
W  536 Answer key says      YES; system says  UNKNOWN
R  537 Answer key says  UNKNOWN; system says  UNKNOWN
R  538 Answer key says      YES; system says      YES
R  539 Answer key says      YES; system says      YES
R  540 Answer key says      YES; system says      YES
W  541 Answer key says  UNKNOWN; system says       NO
W  542 Answer key says       NO; system says      YES
W  543 Answer key says      YES; system says  UNKNOWN
W  544 Answer key says      YES; system says  UNKNOWN
W  545 Answer key says  UNKNOWN; system says       NO
W  546 Answer key says  UNKNOWN; system says       NO
R  547 Answer key says      YES; system says      YES
R  548 Answer key says      YES; system says      YES
R  549 Answer key says      YES; system says      YES
R  550 Answer key says      YES; system says      YES
W  551 Answer key says       NO; system says      YES
W  552 Answer key says      YES; system says  UNKNOWN
W  553 Answer key says      YES; system says  UNKNOWN
R  554 Answer key says  UNKNOWN; system says  UNKNOWN
R  555 Answer key says  UNKNOWN; system says  UNKNOWN
R  556 Answer key says      YES; system says      YES
R  557 Answer key says      YES; system says      YES
W  558 Answer key says  UNKNOWN; system says      YES
R  559 Answer key says      YES; system says      YES
R  560 Answer key says      YES; system says      YES
W  561 Answer key says      YES; system says  UNKNOWN
W  562 Answer key says  UNKNOWN; system says       NO
W  563 Answer key says  UNKNOWN; system says       NO
W  564 Answer key says  UNKNOWN; system says       NO
R  565 Answer key says  UNKNOWN; system says  UNKNOWN
W  566 Answer key says      YES; system says  UNKNOWN
R  567 Answer key says  UNKNOWN; system says  UNKNOWN
W  568 Answer key says  UNKNOWN; system says       NO
R  569 Answer key says      YES; system says      YES
